2015-08-03,Brooklyn:45.0,Manhattan:15.0,Westchester:25.0,Bronx:30.0
2015-09-02,Bronx:45.28272604588394,Staten Island:43.41489361702128,All Boroughs:31.785714285714285,Queens:46.570747217806044,Westchester:24.530075187969924,Brooklyn:31.58284023668639,Rockland County:32.121212121212125,New Jersey:606.2307692307693,Nassau County:32.888888888888886,Manhattan:123.5936018957346
2015-10-02,Queens:36.49187935034803,Westchester:23.155223880597013,All Boroughs:32.096774193548384,Rockland County:24.62962962962963,Connecticut:30.0,New Jersey:35.25,Bronx:30.35787037037037,Manhattan:130.59829787234042,Staten Island:16.77910447761194,Nassau County:30.77319587628866,Brooklyn:29.898950131233597
2015-11-01,New Jersey:23.863636363636363,Connecticut:37.5,Staten Island:18.71078431372549,Queens:30.213087248322147,Brooklyn:29.596283783783782,Westchester:18.04225352112676,Manhattan:43.87716535433071,Bronx:22.878511769172363,All Boroughs:29.75,Nassau County:30.54054054054054,Rockland County:22.3
2015-12-01,Bronx:26.105714285714285,Queens:52.99825174825175,Manhattan:33.1288032454361,New Jersey:27.608695652173914,Westchester:28.958333333333332,All Boroughs:31.0,Nassau County:28.852459016393443,Brooklyn:202.715860899067,Staten Island:18.84536082474227,Connecticut:20.0,Rockland County:29.181818181818183
2015-12-31,Manhattan:96.64634146341463,Nassau County:38.87951807228916,Bronx:43.59897435897436,New Jersey:19.516129032258064,All Boroughs:28.94736842105263,Queens:34.738853503184714,Rockland County:32.5,Connecticut:23.0,Brooklyn:61.3619937694704,Staten Island:30.418013856812934,Westchester:200.03311258278146
2016-01-30,Staten Island:17.91983122362869,Westchester:20.445859872611464,All Boroughs:26.53846153846154,Nassau County:26.470588235294116,Rockland County:33.57142857142857,New Jersey:28.40909090909091,Connecticut:23.0,Queens:35.75207986688852,Brooklyn:72.16078431372549,Bronx:22.17676767676768,Manhattan:49.236241610738254
2016-02-29,Manhattan:51.58994413407821,New Jersey:23.695652173913043,Nassau County:29.63235294117647,Connecticut:16.0,All Boroughs:28.333333333333332,Westchester:18.829787234042552,Rockland County:36.875,Brooklyn:30.374820143884893,Bronx:30.25774754346183,Queens:29.091331269349844,Staten Island:17.401913875598087
2016-03-30,Manhattan:27.937704918032786,Brooklyn:32.22734627831715,Staten Island:19.125,Nassau County:25.948275862068964,All Boroughs:28.076923076923077,Westchester:18.71345029239766,New Jersey:39.5,Connecticut:30.0,Bronx:19.10068846815835,Queens:37.8784,Rockland County:28.095238095238095
2016-04-29,New Jersey:22.058823529411764,Queens:27.4921875,Staten Island:19.748878923766817,All Boroughs:32.8,Nassau County:31.402439024390244,Rockland County:22.916666666666668,Connecticut:10.0,Westchester:21.87441860465116,Brooklyn:32.26409495548961,Bronx:38.0235531628533,Manhattan:505.0930787589499
2016-05-29,All Boroughs:33.333333333333336,Connecticut:15.0,Manhattan:29.380281690140844,Queens:38.508710801393725,New Jersey:18.928571428571427,Brooklyn:30.969409282700422,Nassau County:27.84090909090909,Staten Island:18.155339805825243,Bronx:20.580348004094166,Westchester:19.02777777777778,Rockland County:21.333333333333332
2016-06-28,Nassau County:33.148148148148145,Manhattan:31.938144329896907,Brooklyn:29.44665012406948,Westchester:25.428571428571427,Bronx:22.20840950639854,Queens:29.016393442622952,Staten Island:39.1025641025641,Rockland County:28.75,New Jersey:45.0
2016-07-28,Bronx:22.3573883161512,Westchester:23.01923076923077,Manhattan:31.639423076923077,Queens:31.514285714285716,Staten Island:28.194444444444443,Nassau County:26.57894736842105,Rockland County:25.0,Brooklyn:30.517241379310345,All Boroughs:30.0
2016-08-27,Nassau County:31.182926829268293,Connecticut:25.0,Staten Island:17.957920792079207,New Jersey:25.0,Brooklyn:68.98346303501945,All Boroughs:43.75,Westchester:24.479166666666668,Bronx:57.98766328011611,Rockland County:23.37837837837838,Manhattan:64.58162162162162,Queens:28.263502454991816
2016-09-26,Bronx:35.03152279340446,Nassau County:58.5,New Jersey:464.0,All Boroughs:36.5,Queens:32.17245989304813,Connecticut:16.666666666666668,Manhattan:34.82265552460539,Staten Island:17.976905311778292,Westchester:27.41823899371069,Brooklyn:33.91810048176187,Rockland County:30.565217391304348
2016-10-26,Rockland County:31.53846153846154,Connecticut:18.636363636363637,Queens:33.613382899628256,Westchester:44.008810572687224,Brooklyn:75.21128798842257,Staten Island:19.598540145985403,Manhattan:29.289335664335663,Nassau County:32.5,New Jersey:28.295454545454547,All Boroughs:34.54545454545455,Bronx:22.00603732162459
2016-11-25,Staten Island:21.695906432748536,All Boroughs:36.42857142857143,Westchester:44.06603773584906,Nassau County:32.02857142857143,Rockland County:46.25,New Jersey:52.71739130434783,Connecticut:20.0,Brooklyn:29.190975865687303,Bronx:37.93236151603499,Manhattan:62.13463241806909,Queens:34.668896321070235
2016-12-25,Manhattan:35.38116100766703,Westchester:47.05882352941177,New Jersey:28.235294117647058,All Boroughs:40.833333333333336,Rockland County:30.0,Brooklyn:47.52208201892744,Bronx:41.3530895334174,Staten Island:23.334975369458128,Queens:42.641891891891895,Nassau County:33.78787878787879
2017-01-24,Rockland County:38.529411764705884,All Boroughs:30.0,Nassau County:33.93589743589744,Westchester:46.4,Connecticut:22.058823529411764,Staten Island:26.75619834710744,Bronx:25.297482837528605,New Jersey:24.076923076923077,Queens:36.04924760601915,Brooklyn:57.90329079919409,Manhattan:90.07933579335793
2017-02-23,Manhattan:30.090586145648313,Staten Island:25.51775147928994,New Jersey:28.974358974358974,Nassau County:395.7894736842105,Connecticut:16.666666666666668,All Boroughs:33.57142857142857,Rockland County:46.875,Brooklyn:39.075172413793105,Bronx:25.433972310969118,Westchester:46.246753246753244,Queens:46.62682602921647
2017-03-25,Manhattan:48.44497607655502,All Boroughs:20.0,Connecticut:18.333333333333332,Rockland County:36.5625,New Jersey:25.238095238095237,Nassau County:43.90625,Bronx:42.06384455239417,Brooklyn:57.93271889400922,Queens:91.15780445969125,Staten Island:26.737089201877936,Westchester:42.88690476190476
2017-04-24,Staten Island:27.753703703703703,Rockland County:32.22222222222222,Connecticut:21.875,Bronx:23.669096209912535,Westchester:45.34552845528455,Queens:60.07953340402969,Brooklyn:126.40271712760796,Nassau County:35.75949367088607,New Jersey:24.677419354838708,All Boroughs:35.0,Manhattan:36.27158135981665
2017-05-24,Bronx:23.95483061480552,New Jersey:24.607843137254903,Westchester:46.64,Rockland County:36.5,Nassau County:38.04347826086956,All Boroughs:24.09090909090909,Connecticut:17.0,Brooklyn:68.9356605065024,Manhattan:34.5031265031265,Queens:71.44780635400907,Staten Island:28.21350762527233
2017-06-23,Rockland County:3032.222222222222,Connecticut:45.0,All Boroughs:25.0,Manhattan:29.447731755424062,Bronx:76.79229480737018,Queens:66.22767857142857,Staten Island:31.28048780487805,Brooklyn:29.948660714285715,New Jersey:41.25,Nassau County:27.1875,Westchester:32.11764705882353
2017-07-23,Brooklyn:28.624454148471617,Staten Island:26.96153846153846,Manhattan:34.1241134751773,New Jersey:35.0,Westchester:52.25714285714286,Nassau County:31.5,Queens:31.271929824561404,Bronx:27.188854489164086,Rockland County:30.0
2017-08-22,New Jersey:54.666666666666664,Manhattan:44.13755458515284,Rockland County:38.57142857142857,Brooklyn:38.321033210332104,Westchester:42.28448275862069,Queens:42.44274809160305,Bronx:28.98921832884097,All Boroughs:48.0,Connecticut:27.0,Staten Island:38.56275303643725,Nassau County:33.87096774193548
2017-09-21,Bronx:28.242530755711776,Nassau County:40.0,Staten Island:34.8956780923994,New Jersey:55.90909090909091,Rockland County:40.833333333333336,Connecticut:30.0,All Boroughs:38.25,Brooklyn:35.07259528130672,Queens:37.98416565164434,Manhattan:43.03319919517103,Westchester:40.61538461538461
2017-10-21,Brooklyn:35.26762402088773,Westchester:40.13333333333333,Bronx:29.688760806916427,Staten Island:32.37687366167024,Nassau County:39.795918367346935,Connecticut:36.0,All Boroughs:43.0,Queens:36.3412017167382,Manhattan:41.66927286942924,New Jersey:50.51020408163265,Rockland County:33.26086956521739
2017-11-20,Staten Island:31.099585062240664,Nassau County:42.0873786407767,Queens:36.14821591948765,New Jersey:47.35294117647059,Connecticut:42.391304347826086,Rockland County:40.38461538461539,All Boroughs:39.0,Brooklyn:35.45611015490534,Westchester:44.741379310344826,Manhattan:41.72814755412991,Bronx:29.772619611558504
2017-12-20,Bronx:34.13243626062323,Rockland County:51.0,All Boroughs:45.0,Connecticut:38.57142857142857,New Jersey:41.4,Westchester:40.68,Staten Island:32.64705882352941,Brooklyn:43.38577721837634,Manhattan:42.90352504638219,Nassau County:41.294117647058826,Queens:39.37041564792176
2018-01-19,Manhattan:39.54041204437401,New Jersey:48.40909090909091,All Boroughs:67.5,Queens:38.3455114822547,Staten Island:31.78519593613933,Brooklyn:39.58585247883918,Nassau County:41.60377358490566,Westchester:36.54929577464789,Rockland County:45.0,Connecticut:30.0,Bronx:32.304809494066205
2018-02-18,Queens:39.790419161676645,Bronx:36.67658193618172,New Jersey:53.214285714285715,Westchester:38.604651162790695,Rockland County:50.0,Nassau County:46.36363636363637,Manhattan:41.16264294790343,Brooklyn:39.06687402799378,Staten Island:32.67785234899329
2018-03-20,Nassau County:42.58474576271186,All Boroughs:45.0,New Jersey:50.294117647058826,Queens:43.93574297188755,Westchester:45.51724137931034,Rockland County:39.310344827586206,Bronx:35.51020408163265,Staten Island:31.862745098039216,Manhattan:41.84057971014493,Brooklyn:43.61228813559322
2018-04-19,Staten Island:30.575396825396826,Queens:45.52385008517888,Rockland County:40.67796610169491,New Jersey:48.87096774193548,Connecticut:47.142857142857146,Nassau County:45.44642857142857,Bronx:36.89257238774654,Westchester:39.932432432432435,Manhattan:43.13674898636196,Brooklyn:46.44155844155844
2018-05-19,Staten Island:30.942275042444823,Manhattan:40.97340692423482,Westchester:41.6554054054054,Bronx:44.90036231884058,Rockland County:41.8421052631579,New Jersey:57.721518987341774,Connecticut:60.0,Nassau County:43.31896551724138,Queens:45.33232628398792,Brooklyn:46.53361344537815
2018-06-18,New Jersey:48.0,Westchester:57.0,Queens:41.72727272727273,Rockland County:45.0,Brooklyn:45.89403973509934,Nassau County:43.125,Manhattan:41.607142857142854,Bronx:46.907514450867055,Staten Island:30.81081081081081
2018-08-17,Queens:42.23880597014925,Brooklyn:42.35690235690236,Bronx:37.84090909090909,Manhattan:44.94736842105263,Nassau County:44.31818181818182,New Jersey:42.0,Staten Island:34.7085201793722,Westchester:41.30434782608695,Rockland County:40.714285714285715,All Boroughs:32.27272727272727,Connecticut:30.0
2018-09-16,Manhattan:47.41423357664234,Nassau County:47.7906976744186,Brooklyn:45.68666140489345,Rockland County:34.411764705882355,Staten Island:38.78453038674033,Connecticut:18.75,Westchester:39.19642857142857,Bronx:38.2581055308328,New Jersey:45.6,All Boroughs:21.818181818181817,Queens:42.69035532994924
2018-10-16,Rockland County:44.4,Manhattan:47.101635867918816,Nassau County:45.95846645367412,New Jersey:42.93103448275862,Bronx:41.88714039832801,Connecticut:35.0,Westchester:38.01724137931034,All Boroughs:16.0,Brooklyn:44.22421661089139,Queens:45.454252577319586,Staten Island:33.909574468085104
2018-11-15,Rockland County:38.75,Bronx:46.350378105869645,New Jersey:52.1875,Connecticut:57.0,Westchester:39.39252336448598,Queens:44.5556552962298,Nassau County:49.60674157303371,All Boroughs:15.0,Brooklyn:44.18870904066325,Staten Island:34.52479338842975,Manhattan:48.57656039515042
2018-12-15,Queens:41.63265306122449,Staten Island:36.15384615384615,Nassau County:48.13953488372093,New Jersey:45.0,All Boroughs:15.0,Rockland County:25.0,Connecticut:30.0,Manhattan:49.31047765793529,Bronx:50.440140845070424,Brooklyn:42.73142112125163,Westchester:48.529411764705884
2019-01-14,Brooklyn:41.80882841022237,All Boroughs:15.652173913043478,Nassau County:43.24817518248175,Staten Island:35.42986425339367,Rockland County:44.11764705882353,New Jersey:48.0,Westchester:42.594339622641506,Queens:44.16299559471366,Bronx:49.24900057110223,Connecticut:20.0,Manhattan:47.96449704142012
2019-02-13,Queens:45.15507518796993,Nassau County:45.16304347826087,Rockland County:46.666666666666664,Connecticut:35.0,All Boroughs:15.0,Staten Island:35.809859154929576,New Jersey:41.25,Westchester:42.985074626865675,Bronx:50.80964153275649,Brooklyn:40.99285714285714,Manhattan:47.73045054375971
2019-03-15,Staten Island:33.97959183673469,Nassau County:40.08474576271186,Westchester:39.439655172413794,New Jersey:44.65909090909091,Connecticut:27.0,Rockland County:52.5,All Boroughs:18.125,Brooklyn:42.17609162491052,Bronx:47.28176795580111,Queens:45.9659511472983,Manhattan:46.30884557721139
